plugin,skill,source_path,source_hash,lifecycle,stage,asset,capability,license_origin
craft,dash_ellipsis_guide,backend/plugins/craft/skills/dash_ellipsis_guide/metadata.yaml,sha256:4cfa2deda039c921f9d45ae9530f9a142d9f7a202eeb15407c768c0b95c2f19e,active,write,style,compose,awesome-novel-skill:GPL-3.0:user-authorized
craft,mobile_formatting,backend/plugins/craft/skills/mobile_formatting/metadata.yaml,sha256:a7798a11f528f4658604d8420103a3969546b92ac448df05d9521c23e6fc4a08,active,write,style,compose,awesome-novel-skill:GPL-3.0:user-authorized
craft,plot_conflict_craft,backend/plugins/craft/skills/plot_conflict_craft/metadata.yaml,sha256:aae18cbab06eff87aef6e74084f6e4b0bc4482f3ca0beb39d32dcb9a27110321,active,plan,plot,analyze,awesome-novel-skill:GPL-3.0:user-authorized
craft,plot_emotional_pull,backend/plugins/craft/skills/plot_emotional_pull/metadata.yaml,sha256:dd53da8d329f6b0c1dd1239ec1c155ed21e25bfe1981eeed10a7b19ff1d0dd31,active,plan,plot,analyze,awesome-novel-skill:GPL-3.0:user-authorized
craft,plot_hook_craft,backend/plugins/craft/skills/plot_hook_craft/metadata.yaml,sha256:4c4ece9a87fd6b3a28d5bb825faab0a3010f4fe40475ce942854ea032de0375a,active,plan,plot,analyze,awesome-novel-skill:GPL-3.0:user-authorized
craft,scene_dialogue_craft,backend/plugins/craft/skills/scene_dialogue_craft/metadata.yaml,sha256:33227bda7a549d1e1d3e0f403c72a1ab019ce70eb713a4ce7762fb8cb8f2af15,active,write,scene,generate,awesome-novel-skill:GPL-3.0:user-authorized
craft,scene_fight_craft,backend/plugins/craft/skills/scene_fight_craft/metadata.yaml,sha256:3ae1d13b145016ed12a1cca597b64cf32516cf0ca26d60e95aa2c8d132ed28c9,active,write,scene,generate,awesome-novel-skill:GPL-3.0:user-authorized
craft,shuangwen_techniques,backend/plugins/craft/skills/shuangwen_techniques/metadata.yaml,sha256:4af8038b58c4cdf2def1f8d9d68ec4b23aed4a8f36d62b049a55a526c292895b,active,write,style,compose,awesome-novel-skill:GPL-3.0:user-authorized
derivative,derivative_discipline,backend/plugins/derivative/skills/derivative_discipline/metadata.yaml,sha256:82d77bab142882c044acaf10670caf00622800ffef1528943f643329bf6c5603,active,write,style,generate,novelos-repository:license-unverified
game,game_guide,backend/plugins/game/skills/game_guide/metadata.yaml,sha256:bce7573b5643f2dd273bbc034c3da8b9f311c7546278d6542e56568eef381e99,active,write,style,generate,novelos-repository:license-unverified
game,game_online_mmorpg_guide,backend/plugins/game/skills/game_online_mmorpg_guide/metadata.yaml,sha256:1807ad3f19367bc61e9eee77174ac6985f0fdf5b7768a1c24ccc3f027289386d,active,write,style,generate,novelos-repository:license-unverified
historical,ancient_politics_guide,backend/plugins/historical/skills/ancient_politics_guide/metadata.yaml,sha256:f0cf7e39219662c9efbd73205a4663d21060e0dd40e835d2b5166760b65a2d32,active,write,style,generate,novelos-repository:license-unverified
historical,anti_japanese_war_guide,backend/plugins/historical/skills/anti_japanese_war_guide/metadata.yaml,sha256:979b41f958bed2db62d3b5d61e8a39a9c3af08a07ef890f14bea076530b7b082,active,write,style,generate,novelos-repository:license-unverified
historical,historical_brained_guide,backend/plugins/historical/skills/historical_brained_guide/metadata.yaml,sha256:5e213cfe1fae04d548f910054555632e1da9021218a516d93fbba8e457d968f7,active,write,style,generate,novelos-repository:license-unverified
historical,historical_guide,backend/plugins/historical/skills/historical_guide/metadata.yaml,sha256:1e433666372fb577af55b902b91f8d26bbe56a485949b508352fe16c86b0eee5,active,write,style,generate,novelos-repository:license-unverified
light-novel,isekai_transmigration_guide,backend/plugins/light-novel/skills/isekai_transmigration_guide/metadata.yaml,sha256:d782643d5b8c93f59959756e0be6a7c08b84c5261dc5ff70e3118f7f1f75c09a,active,write,style,generate,novelos-repository:license-unverified
light-novel,light_novel_guide,backend/plugins/light-novel/skills/light_novel_guide/metadata.yaml,sha256:e18f09d07bb98cfeeabad159ee96402cba3920aa855c01f5008fb25201b5b121,active,write,style,generate,novelos-repository:license-unverified
military,military_war_guide,backend/plugins/military/skills/military_war_guide/metadata.yaml,sha256:588e0aa6623c44c322d4afef471a0f8493769ba1b60c5b31bff15d55992c316b,active,write,style,generate,novelos-repository:license-unverified
multiverse,infinite_flow_guide,backend/plugins/multiverse/skills/infinite_flow_guide/metadata.yaml,sha256:553f91391c5ef903827e61c6052189ee3d6d4334296bcc2b7aa6ed71d9c970b9,active,write,style,generate,novelos-repository:license-unverified
multiverse,multiverse_shuttle_guide,backend/plugins/multiverse/skills/multiverse_shuttle_guide/metadata.yaml,sha256:8eb2f50fac4688cf798fa57bcbd799012d133b13f336deb6697bbba9cc131f6c,active,write,style,generate,novelos-repository:license-unverified
mystery,suspense_brained_guide,backend/plugins/mystery/skills/suspense_brained_guide/metadata.yaml,sha256:dfb4cae9aaccb9876d8a21f1a1d93849d40b04dca383cee0b64cdc1dc2e97114,active,write,style,generate,novelos-repository:license-unverified
mystery,suspense_crime_guide,backend/plugins/mystery/skills/suspense_crime_guide/metadata.yaml,sha256:a2dec9e36ad1b024b68561b9a0c0608e1b3db5b13e3937cd1cb8f7f397229d16,active,write,style,generate,novelos-repository:license-unverified
mystery,suspense_paranormal_guide,backend/plugins/mystery/skills/suspense_paranormal_guide/metadata.yaml,sha256:2bbdf780477c5a1356bf67a2651c9b3712b81b4ba2dcad2f183018bcfe71195d,active,write,style,generate,novelos-repository:license-unverified
realistic,entertainment_fame_guide,backend/plugins/realistic/skills/entertainment_fame_guide/metadata.yaml,sha256:391b76e4596e53f0ccd33de40812886ff1854ffe0944c5357bbe41dd658507a2,active,write,style,generate,novelos-repository:license-unverified
realistic,realistic_guide,backend/plugins/realistic/skills/realistic_guide/metadata.yaml,sha256:e41b1ed251dfcf4c03b959b65264e36b166b89096209682dc4eb211334a0b6a0,active,write,style,generate,novelos-repository:license-unverified
scifi,scifi_apocalypse_guide,backend/plugins/scifi/skills/scifi_apocalypse_guide/metadata.yaml,sha256:3cc28bb03fd40ceafa65dcccfe5c8a45a5e170c7e8dba2763c68f82b660503e1,active,write,style,generate,novelos-repository:license-unverified
