source_commit,source_path,source_hash,target_path,classification,license_origin,reason,tests_to_port,status
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,.gitignore,sha256:9a2acf51356b136e8c3103f1ebc7fd61c28c6dc768709c9f868092ceb2437dfc,-,reject,novelos-repository:license-unverified,仓库配置、说明或旧构建入口不直接迁移,not_applicable,rejected
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,AGENTS.md,sha256:b3a99db5da342e6837bcb2c6a0e67efa24bf617543d04ad8664346f0e1429e22,-,reject,novelos-repository:license-unverified,仓库配置、说明或旧构建入口不直接迁移,not_applicable,rejected
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/.gitignore,sha256:f01369405e23088d89060229c83674abbc0eb35430e65b046ef3945add24b5fc,-,reject,novelos-repository:license-unverified,仓库配置、说明或旧构建入口不直接迁移,not_applicable,rejected
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/README.md,sha256:f4c4d992094f81fe920874c2a09410965f594ae231a4277f978f7d093210de2d,-,reject,novelos-repository:license-unverified,仓库配置、说明或旧构建入口不直接迁移,not_applicable,rejected
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/config.yaml.example,sha256:16e923e4652f2f0166ddee4774ea49295ea5aeea54045b304290739c5cb73559,-,reject,novelos-repository:license-unverified,仓库配置、说明或旧构建入口不直接迁移,not_applicable,rejected
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/plugin.toml,sha256:3e063326ee29e004ca96c9dab3aa06e14a6e1a5a43c61da581528399721c5c0e,mcp/novelos/catalog/craft/plugin.toml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/dash_ellipsis_guide/metadata.yaml,sha256:4cfa2deda039c921f9d45ae9530f9a142d9f7a202eeb15407c768c0b95c2f19e,mcp/novelos/catalog/craft/skills/dash_ellipsis_guide/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/dash_ellipsis_guide/prompt.md,sha256:70b7729683f0f2e277d4e44807ddae930bb9cd864dd499b361e2f45717cb90f2,mcp/novelos/catalog/craft/skills/dash_ellipsis_guide/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/mobile_formatting/metadata.yaml,sha256:a7798a11f528f4658604d8420103a3969546b92ac448df05d9521c23e6fc4a08,mcp/novelos/catalog/craft/skills/mobile_formatting/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/mobile_formatting/prompt.md,sha256:3abadfa9c472aa5362dcdf515990b3de31ebd5607125c4fa33984e3aeddcc143,mcp/novelos/catalog/craft/skills/mobile_formatting/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_conflict_craft/metadata.yaml,sha256:aae18cbab06eff87aef6e74084f6e4b0bc4482f3ca0beb39d32dcb9a27110321,mcp/novelos/catalog/craft/skills/plot_conflict_craft/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_conflict_craft/prompt.md,sha256:cac64d6450ede3a332bcac2eef1e898abe51d7ecd8c7157c5e3ff4c52e459188,mcp/novelos/catalog/craft/skills/plot_conflict_craft/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_emotional_pull/metadata.yaml,sha256:dd53da8d329f6b0c1dd1239ec1c155ed21e25bfe1981eeed10a7b19ff1d0dd31,mcp/novelos/catalog/craft/skills/plot_emotional_pull/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_emotional_pull/prompt.md,sha256:410766142b1821e383a6094ebb21c9de2529d276a57d3018af6b6994b265e328,mcp/novelos/catalog/craft/skills/plot_emotional_pull/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_hook_craft/metadata.yaml,sha256:4c4ece9a87fd6b3a28d5bb825faab0a3010f4fe40475ce942854ea032de0375a,mcp/novelos/catalog/craft/skills/plot_hook_craft/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_hook_craft/prompt.md,sha256:a6210e7c389a8105d70bb88ac878d3d099c5b46d60827aa5ab8fb6732dd7dfe1,mcp/novelos/catalog/craft/skills/plot_hook_craft/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_dialogue_craft/metadata.yaml,sha256:33227bda7a549d1e1d3e0f403c72a1ab019ce70eb713a4ce7762fb8cb8f2af15,mcp/novelos/catalog/craft/skills/scene_dialogue_craft/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_dialogue_craft/prompt.md,sha256:3b2dfe3acda98db2b83242a936fe08ee0e4facc600cfb83c3d74147c698b8a95,mcp/novelos/catalog/craft/skills/scene_dialogue_craft/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_fight_craft/metadata.yaml,sha256:3ae1d13b145016ed12a1cca597b64cf32516cf0ca26d60e95aa2c8d132ed28c9,mcp/novelos/catalog/craft/skills/scene_fight_craft/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_fight_craft/prompt.md,sha256:870c41d52d5d08cbeb91ca127ec0fd476d398366c604f3ee5830f47bc171a19e,mcp/novelos/catalog/craft/skills/scene_fight_craft/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/shuangwen_techniques/metadata.yaml,sha256:4af8038b58c4cdf2def1f8d9d68ec4b23aed4a8f36d62b049a55a526c292895b,mcp/novelos/catalog/craft/skills/shuangwen_techniques/metadata.yaml,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/shuangwen_techniques/prompt.md,sha256:298432719e3d5ebc15e446425dd0e8285b8d7d398200dcccefc681507ed7ce21,mcp/novelos/catalog/craft/skills/shuangwen_techniques/prompt.md,adapt,awesome-novel-skill:GPL-3.0:user-authorized,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/derivative/plugin.toml,sha256:b2f332d2bd75353554f948843209fa779e4d9cc03730b0efe69d3fcb4b59ebad,mcp/novelos/catalog/derivative/plugin.toml,adapt,novelos-repository:license-unverified,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/derivative/skills/derivative_discipline/metadata.yaml,sha256:82d77bab142882c044acaf10670caf00622800ffef1528943f643329bf6c5603,mcp/novelos/catalog/derivative/skills/derivative_discipline/metadata.yaml,adapt,novelos-repository:license-unverified,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/derivative/skills/derivative_discipline/prompt.md,sha256:04cd37c9834e7065189488ba6dadff1c335323c9b23dd1138651919ccac85f8c,mcp/novelos/catalog/derivative/skills/derivative_discipline/prompt.md,adapt,novelos-repository:license-unverified,迁移为按需 Catalog 包并补充 provenance,mcp/novelos/tests/catalog,planned
