source_state,source_ref,source_path,source_hash,metadata_path,lifecycle,license_origin,existing_disposition
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/dash_ellipsis_guide/prompt.md,sha256:70b7729683f0f2e277d4e44807ddae930bb9cd864dd499b361e2f45717cb90f2,backend/plugins/craft/skills/dash_ellipsis_guide/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/mobile_formatting/prompt.md,sha256:3abadfa9c472aa5362dcdf515990b3de31ebd5607125c4fa33984e3aeddcc143,backend/plugins/craft/skills/mobile_formatting/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_conflict_craft/prompt.md,sha256:cac64d6450ede3a332bcac2eef1e898abe51d7ecd8c7157c5e3ff4c52e459188,backend/plugins/craft/skills/plot_conflict_craft/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_emotional_pull/prompt.md,sha256:410766142b1821e383a6094ebb21c9de2529d276a57d3018af6b6994b265e328,backend/plugins/craft/skills/plot_emotional_pull/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/plot_hook_craft/prompt.md,sha256:a6210e7c389a8105d70bb88ac878d3d099c5b46d60827aa5ab8fb6732dd7dfe1,backend/plugins/craft/skills/plot_hook_craft/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_dialogue_craft/prompt.md,sha256:3b2dfe3acda98db2b83242a936fe08ee0e4facc600cfb83c3d74147c698b8a95,backend/plugins/craft/skills/scene_dialogue_craft/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/scene_fight_craft/prompt.md,sha256:870c41d52d5d08cbeb91ca127ec0fd476d398366c604f3ee5830f47bc171a19e,backend/plugins/craft/skills/scene_fight_craft/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/craft/skills/shuangwen_techniques/prompt.md,sha256:298432719e3d5ebc15e446425dd0e8285b8d7d398200dcccefc681507ed7ce21,backend/plugins/craft/skills/shuangwen_techniques/metadata.yaml,active,user-authorized,adapt-authorized
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/derivative/skills/derivative_discipline/prompt.md,sha256:04cd37c9834e7065189488ba6dadff1c335323c9b23dd1138651919ccac85f8c,backend/plugins/derivative/skills/derivative_discipline/metadata.yaml,active,novelos-repository:license-unverified,defer-license
committed,902d7e62f55bc8bc2862e2b9574b5ee2f5f33403,backend/plugins/game/skills/game_guide/prompt.md,sha256:d34f0db42be7128ae5a8bf78918f060ea60901de7da635ec442f09eb43908e74,backend/plugins/game/skills/game_guide/metadata.yaml,active,novelos-repository:license-unverified,defer-license
