table_name,record_count
kb_author_personas,122
kb_book_summaries,79
kb_character_archetypes,579
kb_cool_point_patterns,580
kb_corpus_articles,123
kb_corpus_excerpts,436
kb_corpus_tags,28
kb_dialogue_patterns,303
kb_economic_systems,156
kb_emotional_arc_patterns,193
kb_faction_designs,304
kb_imported_files,261
kb_memes,3
kb_plot_frameworks,286
kb_reusable_templates,397
kb_scene_blueprints,326
kb_social_systems,229
kb_story_genres,52
kb_technique_scene_maps,15
kb_world_settings,500
kb_worldbuilding_modules,28
kb_worldbuilding_priority,91
kb_writing_techniques,3017
